"","name","studyName","germplasmDbId","trait","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"117","OH17-171-57","PNU_Scb_21","280855","FHB.grain.incidence.....",28.6382578023452,6.6837719980582,41.7823997957036,15.4941158089868,"Estimable"
"118","OH17-171-57","PNU_Scb_21","280855","FHB.incidence.....",11.5444037783163,10.3728822971369,31.9434595560375,-8.85465199940495,"Estimable"
"119","OH17-171-57","PNU_Scb_21","280855","FHB.severity.....",11.8754015243615,5.93817674262216,23.5532741850926,0.197528863630337,"Estimable"
"120","OH17-171-57","PNU_Scb_21","280855","Heading.time...Julian.date..JD..",137.623268165414,0.662279066147463,138.925689924744,136.320846406084,"Estimable"
"121","OH17-206-73","PNU_Scb_21","280856","FHB.grain.incidence.....",12.899689066249,6.67394640652461,26.0245082924149,-0.225130159916848,"Estimable"
"122","OH17-206-73","PNU_Scb_21","280856","FHB.incidence.....",29.41718235219,10.3722400670354,49.8149751359539,9.01938956842608,"Estimable"
"123","OH17-206-73","PNU_Scb_21","280856","FHB.severity.....",15.4750328545562,5.9333326725718,27.1433792859985,3.80668642311385,"Estimable"
"124","OH17-206-73","PNU_Scb_21","280856","Heading.time...Julian.date..JD..",136.930115971154,0.662078282096874,138.232142873497,135.62808906881,"Estimable"
"125","OH17-21-11","PNU_Scb_21","280857","FHB.grain.incidence.....",5.98263052793688,6.68901552423327,19.1370843111964,-7.17182325532264,"Estimable"
"126","OH17-21-11","PNU_Scb_21","280857","FHB.incidence.....",12.7970777669264,10.4075960665479,33.2644007917044,-7.67024525785173,"Estimable"
"127","OH17-21-11","PNU_Scb_21","280857","FHB.severity.....",7.24199450746079,6.01044471942261,19.0619875979304,-4.57799858300877,"Estimable"
"128","OH17-21-11","PNU_Scb_21","280857","Heading.time...Julian.date..JD..",137.587731913552,0.667278050505916,138.899984552847,136.275479274256,"Estimable"
"129","OH17-93-33","PNU_Scb_21","280858","FHB.grain.incidence.....",37.0498309550111,6.67887076103558,50.1843342959159,23.9153276141063,"Estimable"
"130","OH17-93-33","PNU_Scb_21","280858","FHB.incidence.....",66.6698560189209,10.3724852454365,87.0681309645117,46.2715810733301,"Estimable"
"131","OH17-93-33","PNU_Scb_21","280858","FHB.severity.....",11.8416266136501,5.93478506070741,23.5128292759586,0.17042395134148,"Estimable"
"132","OH17-93-33","PNU_Scb_21","280858","Heading.time...Julian.date..JD..",137.561245950271,0.662147755777327,138.86340947785,136.259082422693,"Estimable"
"133","OH17-94-58","PNU_Scb_21","280859","FHB.grain.incidence.....",11.0894403309023,6.68377666525855,24.2335915026623,-2.05471084085781,"Estimable"
"134","OH17-94-58","PNU_Scb_21","280859","FHB.incidence.....",2.79707666016189,10.4075960706218,23.2643996929516,-17.6702463726278,"Estimable"
"135","OH17-94-58","PNU_Scb_21","280859","FHB.severity.....",13.5753291618494,6.01044473913157,25.3953222910781,1.7553360326207,"Estimable"
"136","OH17-94-58","PNU_Scb_21","280859","Heading.time...Julian.date..JD..",140.254398467315,0.667278056988588,141.566651119359,138.942145815271,"Estimable"
"137","VA19W-24","PNU_Scb_21","280860","FHB.grain.incidence.....",24.5950004721905,6.69348787323743,37.7582494672513,11.4317514771297,"Estimable"
"138","VA19W-24","PNU_Scb_21","280860","FHB.incidence.....",26.5380045614687,10.4079760668044,47.0060748854261,6.06993423751125,"Estimable"
"139","VA19W-24","PNU_Scb_21","280860","FHB.severity.....",33.0532301619944,6.01358622780248,44.879401265752,21.2270590582368,"Estimable"
"140","VA19W-24","PNU_Scb_21","280860","Heading.time...Julian.date..JD..",137.608655679012,0.667402326168652,138.921152715776,136.296158642248,"Estimable"
"141","VA19W-29","PNU_Scb_21","280861","FHB.grain.incidence.....",21.08557811049,6.68816969754726,34.2383685117452,7.93278770923485,"Estimable"
"142","VA19W-29","PNU_Scb_21","280861","FHB.incidence.....",68.3365225265241,10.3724852469547,88.7347974751006,47.9382475779475,"Estimable"
